,Kingdom,Phylum,Class,Order,Family,Genus,Species
Acanthopagrus latus,Metazoa,Chordata,Actinopteri,Spariformes,Sparidae,Acanthopagrus,Acanthopagrus latus
Acanthopagrus schlegeli,Metazoa,Chordata,Actinopteri,Spariformes,Sparidae,Acanthopagrus,Acanthopagrus schlegelii
Acanthopagrus sivicolus,Metazoa,Chordata,Actinopteri,Spariformes,Sparidae,Acanthopagrus,Acanthopagrus sivicolus
Aethaloperca rogaa,Metazoa,Chordata,Actinopteri,Perciformes,Serranidae,Aethaloperca,Aethaloperca rogaa
Alepes djedaba,Metazoa,Chordata,Actinopteri,Carangiformes,Carangidae,Alepes,Alepes djedaba
Aluterus monoceros,Metazoa,Chordata,Actinopteri,Tetraodontiformes,Monacanthidae,Aluterus,Aluterus monoceros
Aluterus scriptus,Metazoa,Chordata,Actinopteri,Tetraodontiformes,Monacanthidae,Aluterus,Aluterus scriptus
Ambassis sp.,Metazoa,Chordata,Actinopteri,NA,Ambassidae,Ambassis,Ambassis sp.
Anguilla japonica,Metazoa,Chordata,Actinopteri,Anguilliformes,Anguillidae,Anguilla,Anguilla japonica
Anguilla rostrata,Metazoa,Chordata,Actinopteri,Anguilliformes,Anguillidae,Anguilla,Anguilla rostrata
Apogon semilineatus,Metazoa,Chordata,Actinopteri,Kurtiformes,Apogonidae,Apogon,Apogon semilineatus
Atherinidae sp.,Metazoa,Chordata,Actinopteri,Atheriniformes,Atherinidae,Atherinidae,Atherinidae sp.
Barbichthys laevis,Metazoa,Chordata,Actinopteri,Cypriniformes,Cyprinidae,Barbichthys,Barbichthys laevis
Branchiostegus argentatus,Metazoa,Chordata,Actinopteri,NA,Malacanthidae,Branchiostegus,Branchiostegus argentatus
Branchiostegus japonicus,Metazoa,Chordata,Actinopteri,NA,Malacanthidae,Branchiostegus,Branchiostegus japonicus
Branchiostegus sp. ,Metazoa,Chordata,Actinopteri,NA,Malacanthidae,Branchiostegus,Branchiostegus sp.
Carangidae sp.,Metazoa,Chordata,Actinopteri,Carangiformes,Carangidae,Carangidae,Carangidae sp.
Carassius gibelio,Metazoa,Chordata,Actinopteri,Cypriniformes,Cyprinidae,Carassius,Carassius gibelio
Carassius sp.,Metazoa,Chordata,Actinopteri,Cypriniformes,Cyprinidae,Carassius,Carassius sp.
Cephalopholis argus,Metazoa,Chordata,Actinopteri,Perciformes,Serranidae,Cephalopholis,Cephalopholis argus
Cephalopholis boenak,Metazoa,Chordata,Actinopteri,Perciformes,Serranidae,Cephalopholis,Cephalopholis boenak
Cephalopholis sonnerati,Metazoa,Chordata,Actinopteri,Perciformes,Serranidae,Cephalopholis,Cephalopholis sonnerati
Channa argus,Metazoa,Chordata,Actinopteri,Anabantiformes,Channidae,Channa,Channa argus
Channa asiatica,Metazoa,Chordata,Actinopteri,Anabantiformes,Channidae,Channa,Channa asiatica
Channa marulius,Metazoa,Chordata,Actinopteri,Anabantiformes,Channidae,Channa,Channa marulius
Chanos chanos,Metazoa,Chordata,Actinopteri,Gonorynchiformes,Chanidae,Chanos,Chanos chanos
Cheilodactylus zonatus,Metazoa,Chordata,Actinopteri,Centrarchiformes,Cheilodactylidae,Cheilodactylus,Cheilodactylus zonatus
Cirrhinus molitorella,Metazoa,Chordata,Actinopteri,Cypriniformes,Cyprinidae,Cirrhinus,Cirrhinus molitorella
Clarias sp.,Metazoa,Chordata,Actinopteri,Siluriformes,Clariidae,Clarias,Clarias sp.
Clupeidae sp.,Metazoa,Chordata,Actinopteri,Clupeiformes,Clupeidae,Clupeidae,Clupeidae sp.
Coilia mystus,Metazoa,Chordata,Actinopteri,Clupeiformes,Engraulidae,Coilia,Coilia mystus
Collichthys lucidus,Metazoa,Chordata,Actinopteri,NA,Sciaenidae,Collichthys,Collichthys lucidus
Ctenopharyngodon idella,Metazoa,Chordata,Actinopteri,Cypriniformes,Xenocyprididae,Ctenopharyngodon,Ctenopharyngodon idella
Cynoglossus arel,Metazoa,Chordata,Actinopteri,Pleuronectiformes,Cynoglossidae,Cynoglossus,Cynoglossus arel
Cynoglossus semilaevis,Metazoa,Chordata,Actinopteri,Pleuronectiformes,Cynoglossidae,Cynoglossus,Cynoglossus semilaevis
